EP011949, UNNAMED,7,,,,,,,,,,,,,,,,,,
19500709,1200,, HU,16.1N,108.0W,75,,,,,,,,,,,,,,
19500709,1800,, HU,16.4N,108.4W,75,,,,,,,,,,,,,,
19500710,0,, HU,16.7N,108.9W,75,,,,,,,,,,,,,,
19500710,600,, HU,17.1N,109.7W,75,,,,,,,,,,,,,,
19500710,1200,, HU,17.5N,110.5W,75,,,,,,,,,,,,,,
19500710,1800,, HU,17.8N,111.2W,75,,,,,,,,,,,,,,
19500711,0,, HU,18.0N,112.0W,75,,,,,,,,,,,,,,
19500711,600,, HU,18.3N,113.0W,75,,,,,,,,,,,,,,
19500711,1200,, HU,18.6N,114.0W,75,,,,,,,,,,,,,,
19500711,1800,, HU,18.7N,114.9W,75,,,,,,,,,,,,,,
19500712,0,, HU,18.6N,115.9W,75,,,,,,,,,,,,,,
19500712,600,, HU,18.4N,117.0W,75,,,,,,,,,,,,,,
19500712,1200,, HU,18.1N,118.0W,75,,,,,,,,,,,,,,
CP011950, HIKI,39,,,,,,,,,,,,,,,,,,
19500812,0,, TD,14.5N,144.5W,25,,,,,,,,,,,,,,
19500812,600,, TD,14.9N,144.8W,25,,,,,,,,,,,,,,
19500812,1200,, TD,15.2N,145.2W,25,,,,,,,,,,,,,,
19500812,1800,, TD,15.5N,145.6W,25,,,,,,,,,,,,,,
19500813,0,, TD,15.7N,145.8W,25,,,,,,,,,,,,,,
19500813,600,, TS,15.9N,146.3W,45,,,,,,,,,,,,,,
19500813,1200,, TS,16.3N,146.9W,45,,,,,,,,,,,,,,
19500813,1800,, TS,16.6N,147.6W,45,,,,,,,,,,,,,,
19500814,0,, TS,16.8N,148.1W,45,,,,,,,,,,,,,,
19500814,600,, TS,17.5N,149.1W,45,,,,,,,,,,,,,,
19500814,1200,, TS,18.3N,150.1W,45,,,,,,,,,,,,,,
19500814,1800,, TS,19.3N,151.3W,45,,,,,,,,,,,,,,
19500815,0,, TS,20.1N,152.4W,45,,,,,,,,,,,,,,
19500815,600,, TS,20.7N,153.4W,45,,,,,,,,,,,,,,
19500815,1200,, TS,21.4N,154.4W,45,,,,,,,,,,,,,,
19500815,1800,, TS,22.3N,155.6W,45,,,,,,,,,,,,,,
19500816,0,, HU,23.0N,156.6W,75,,,,,,,,,,,,,,
19500816,600,, HU,23.7N,157.5W,75,,,,,,,,,,,,,,
19500816,1200,, HU,24.3N,158.4W,75,,,,,,,,,,,,,,
19500816,1800,, HU,24.7N,159.6W,75,,,,,,,,,,,,,,
19500817,0,, HU,24.7N,160.8W,75,,,,,,,,,,,,,,
19500817,600,, HU,24.5N,161.6W,75,,,,,,,,,,,,,,
19500817,1200,, HU,24.0N,162.4W,75,,,,,,,,,,,,,,
19500817,1800,, HU,23.6N,163.1W,75,,,,,,,,,,,,,,
19500818,0,, HU,23.3N,163.8W,75,,,,,,,,,,,,,,
19500818,600,, HU,22.8N,164.7W,75,,,,,,,,,,,,,,
19500818,1200,, HU,22.6N,165.6W,75,,,,,,,,,,,,,,
19500818,1800,, HU,22.5N,166.5W,75,,,,,,,,,,,,,,
